stimnum,stim,stimtype,stimtc,stimrf,stimtc_pred,stimrf_pred,freq
1,communicate,gen,gen,gen,control,prom,11536
2,shower,gen,gen,gen,control,prom,11914
3,sleep,gen,gen,gen,control,prom,49735
4,consider,tgen,truth,gen,truth,prom,59785
5,inquire,tgen,truth,gen,truth,prom,1533
6,investigate,tgen,truth,gen,truth,prom,12174
7,control,cgen,control,gen,control,prom,145154
8,manage,cgen,control,gen,control,prom,18616
9,operate,cgen,control,gen,control,prom,14749
10,evade,prevgen,gen,prev,control,prev,1225
11,prevent,prevgen,gen,prev,control,prev,34026
12,secure,prevgen,gen,prev,control,prev,19232
13,assess,prevtruth,truth,prev,truth,prev,14514
14,examine,prevtruth,truth,prev,truth,prev,19024
15,judge,prevtruth,truth,prev,truth,prev,59956
16,review,prevtruth,truth,prev,truth,prev,51511
17,scrutinize,prevtruth,truth,prev,truth,prev,870
18,verify,prevtruth,truth,prev,truth,prev,3396
19,defend,prevcontrol,control,prev,control,prev,15370
20,guard,prevcontrol,control,prev,control,prev,36702
21,maintain,prevcontrol,control,prev,control,prev,28646
22,preserve,prevcontrol,control,prev,control,prev,12644
23,protect,prevcontrol,control,prev,control,prev,45116
24,resist,prevcontrol,control,prev,control,prev,10122
25,achieve,promgen,gen,prom,control,prom,23903
26,gain,promgen,gen,prom,control,prom,27192
27,grow,promgen,gen,prom,control,prom,43539
28,discover,promtruth,truth,prom,truth,prom,14202
29,explore,promtruth,truth,prom,truth,prom,18044
30,imagine,promtruth,truth,prom,truth,prom,44255
31,invent,promtruth,truth,prom,truth,prom,2482
32,seek,promtruth,truth,prom,truth,prom,26157
33,wonder,promtruth,truth,prom,truth,prom,40220
34,accelerate,promcontrol,control,prom,control,prom,2949
35,elevate,promcontrol,control,prom,control,prom,1598
36,launch,promcontrol,control,prom,control,prom,16515
37,lead,promcontrol,control,prom,control,prom,83252
38,progress,promcontrol,control,prom,control,prom,38126
39,propel,promcontrol,control,prom,control,prom,1388